,oos,trf_avg,atc,latency,perfect_order,retention,GMV_cur
63,0,2667,44,1.38,1,1,2001.76
64,0,1774,51,0.95,1,1,1558.07
65,1,2783,97,0.78,0,0,1995.95
66,1,3480,85,1.9,0,0,2577.97
67,0,839,26,2.52,1,1,945.91
68,1,1645,36,0.41,0,1,1325.24
69,1,4664,69,4.74,0,1,2893.7
70,1,2359,97,3.85,1,0,2284.4
71,1,1235,1,3.68,1,0,589.77
72,0,973,53,0.95,0,1,833.33
73,1,4655,6,3.06,0,1,2400.65
74,0,2400,37,2.7,1,1,1770.71
75,1,851,2,4.91,1,1,622.17
76,1,953,69,3.76,1,0,1215.73
77,1,3832,90,2.92,0,0,2944.61
78,0,2383,41,4.27,1,0,1747.41
79,1,1429,51,0.86,0,0,1081.94
80,0,577,47,0.17,1,0,923.3
81,1,2826,13,3.48,0,1,1263.01
82,0,3191,76,0.58,0,0,2249.67
83,1,4330,69,0.67,1,0,2952.89
84,0,4605,66,3.75,0,0,3042.48
85,0,1369,59,1.43,1,1,1439.32
86,1,4281,68,3.18,0,1,2815.34
87,0,2703,59,4.6,0,0,1839.51
88,1,1569,91,1.65,0,0,1508.89
89,1,477,10,1.16,1,0,519.85
90,1,1780,13,0.62,1,0,1073.12
91,1,341,2,0.74,0,1,86.0
92,1,1019,90,0.4,1,0,1754.66
93,1,169,15,0.53,0,0,234.35
94,1,4024,46,2.22,1,0,2495.57
95,1,2186,57,1.67,1,0,1852.81
96,1,2107,10,3.56,0,1,938.52
97,1,900,22,4.36,0,0,357.39
98,1,2879,89,3.95,0,0,2309.75
99,0,855,79,2.7,1,0,1392.98
100,0,2095,77,0.6,0,0,1785.78
101,1,1421,8,3.58,0,0,502.36
102,1,2430,21,1.88,1,1,1505.87
103,1,209,85,0.52,1,1,1113.32
104,1,1116,22,4.23,0,0,526.84
105,1,3965,97,1.76,0,1,2871.53
106,1,124,45,1.17,1,0,793.63
107,1,2938,91,4.37,1,0,2464.26
108,1,837,40,4.52,1,0,936.53
109,0,279,22,1.76,1,0,480.32
110,1,331,30,1.84,0,0,273.59
111,0,2017,62,2.94,0,0,1513.55
112,1,442,73,3.69,1,1,1132.69
113,1,4672,45,0.41,0,0,2718.07
114,0,2723,35,3.01,0,1,1631.08
115,1,554,82,4.77,0,1,901.04
116,0,4484,42,1.38,1,1,2707.25
117,1,4725,5,4.55,0,0,2408.24
118,1,2376,27,4.76,1,0,1491.99
119,0,695,70,1.42,0,0,965.95
120,1,3974,62,3.8,1,0,2688.97
121,0,4630,32,1.27,1,0,2756.64
122,1,4597,8,3.71,1,1,2485.59
123,0,2769,85,4.01,0,1,2085.84
124,0,2235,18,1.31,0,0,1283.66
125,1,4064,78,3.61,0,1,2684.54
126,1,1665,15,4.08,0,1,1036.45
127,0,408,26,1.86,0,0,617.85
128,1,442,53,0.92,1,0,961.35
129,1,535,44,0.55,0,0,637.67
130,1,276,32,2.92,0,1,429.91
131,0,238,28,4.89,0,1,378.32
132,0,293,39,4.13,0,1,406.88
133,0,3357,32,2.24,1,1,1988.74
134,0,3335,77,2.73,1,1,2392.6
135,0,1042,79,1.47,1,1,1469.7
136,0,4720,18,0.9,1,1,2671.5
137,0,3979,70,2.46,0,0,2585.89
138,0,3213,11,2.37,1,1,1788.63
139,0,3062,32,2.66,0,0,1712.99
140,1,4936,20,4.77,1,0,2788.08
141,0,1053,97,3.06,1,1,1332.38
142,1,1402,40,3.07,0,1,1048.43
143,1,3481,8,0.73,0,0,1728.3
144,1,2980,35,4.98,1,1,2034.47
145,0,2287,69,3.89,0,0,1782.33
146,0,4987,99,4.4,0,1,3222.19
147,0,645,78,2.13,0,1,872.74
148,0,2027,21,2.56,1,0,1258.06
149,1,4252,24,2.66,1,0,2489.26
150,0,104,17,1.05,1,0,229.71
151,0,3581,18,3.48,1,0,2111.94
152,0,3353,98,4.52,0,1,2636.34
153,0,1462,12,0.9,0,0,780.21
154,0,1920,16,0.52,0,0,1020.8
155,1,2763,4,3.72,0,0,1082.0
156,0,3038,89,1.44,1,1,2731.21
157,1,1373,34,3.16,0,1,1095.98
158,0,3426,92,3.51,1,0,2884.78
159,1,3759,46,1.68,1,1,2428.24
160,0,3045,75,4.09,1,0,2385.33
161,0,3118,77,2.79,0,1,2341.76
162,1,1231,31,4.36,0,0,802.96
163,1,4863,25,3.84,1,0,2443.11
164,1,2736,74,4.36,1,1,2262.61
165,0,3129,24,0.2,0,0,1922.39
166,1,3119,65,1.29,1,0,2440.88
167,0,4477,25,0.54,0,0,2522.93
168,0,3259,28,2.27,1,1,2159.91
169,1,353,36,4.46,1,1,456.01
170,1,428,82,2.39,0,0,926.84
171,0,2691,6,4.26,0,0,1253.44
172,0,2930,66,1.7,1,0,2436.14
173,1,3144,67,1.76,1,1,2375.2
174,1,1520,72,4.49,0,0,1324.3
175,1,3501,95,2.19,1,0,2704.91
176,0,2992,48,3.97,1,0,1990.67
177,0,754,83,1.26,1,1,1268.94
178,0,859,70,4.75,1,0,1309.02
179,0,1898,78,2.92,1,1,1930.4
180,0,3071,67,3.82,1,0,2354.11
181,0,4611,48,0.54,0,0,2853.81
182,1,3526,65,2.51,1,0,2432.25
183,0,354,44,4.52,0,1,342.23
184,0,3923,94,4.4,1,0,3081.83
185,0,1976,63,0.33,1,0,1805.77
186,1,2857,46,1.59,0,0,1889.98
187,0,2724,19,2.27,0,1,1549.21
188,0,4221,64,0.94,0,0,2724.35
189,1,3104,83,3.68,0,0,2278.96
190,0,4616,73,1.0,0,0,3158.91
191,0,3834,71,1.8,1,1,2761.99
192,0,1344,50,3.35,0,1,1178.68
193,0,1108,63,2.46,0,1,1165.71
194,0,4414,41,3.72,0,1,2375.13
195,1,1610,7,4.81,1,1,797.39
196,1,2059,9,0.67,1,0,1252.14
197,1,2608,4,3.58,1,1,1372.63
198,0,4858,89,1.23,0,1,3199.39
199,0,2782,49,2.13,1,1,2145.47
200,0,1089,76,0.26,1,1,1349.76
201,1,4384,6,0.77,1,1,2366.74
202,0,354,82,1.67,1,1,1076.2
203,0,4263,21,1.78,0,0,2454.18
204,1,4811,15,4.51,0,0,2667.05
205,0,4552,67,3.73,0,1,2840.28
206,1,355,66,4.86,0,1,775.16
207,1,1107,56,3.04,0,1,1129.68
208,1,1855,68,1.28,0,1,1621.77
209,0,2671,32,1.71,0,0,1700.4
210,0,4008,66,1.67,0,1,2453.32
211,0,3097,29,1.7,1,0,2122.13
212,0,2903,66,3.4,1,0,2279.43
213,0,3865,34,2.7,0,0,2195.6
214,0,4479,27,1.99,0,0,2461.89
215,0,3483,60,0.83,1,1,2550.69
216,1,198,39,0.21,1,0,609.4
217,0,296,44,1.17,1,1,729.11
218,1,2629,82,0.63,0,1,1974.13
219,0,977,36,3.95,1,0,1020.52
220,0,1968,19,0.65,0,0,1144.84
221,0,2765,91,3.65,1,0,2340.21
222,1,1488,45,1.99,1,1,1313.98
223,1,2515,84,0.46,0,0,2042.58
224,1,669,21,4.08,1,1,663.48
225,1,2737,23,2.94,0,1,1486.71
226,0,1165,94,1.26,1,1,1758.98
227,1,521,89,4.48,0,1,983.59
228,0,2983,95,0.32,0,0,2414.99
229,0,1304,27,1.09,0,0,927.96
230,1,644,98,3.79,1,0,1414.91
231,1,4266,72,3.58,0,0,2852.56
232,1,3739,19,1.52,1,0,2283.87
233,1,1323,41,0.4,1,0,1209.14
234,1,3272,26,4.3,0,1,1618.99
235,1,867,28,1.64,0,0,699.1
236,1,3757,64,1.06,1,1,2700.08
237,1,754,68,2.63,1,1,1176.1
238,0,2546,95,4.56,0,1,2209.12
239,1,320,80,0.31,1,1,1066.94
240,1,3766,51,3.85,0,0,2106.5
241,0,4377,74,2.91,0,0,2782.86
242,1,4502,48,2.18,0,1,2347.71
243,0,2669,10,3.75,1,1,1603.88
244,0,1113,73,4.83,1,0,1383.3
245,1,2151,39,1.22,1,1,1677.17
246,0,4085,19,0.8,1,0,2491.86
247,0,4999,64,4.57,0,1,2999.12
248,0,4410,19,3.38,1,1,2444.95
249,0,3119,76,2.25,0,0,2195.73
250,1,3781,62,2.91,0,0,2593.81
251,0,1543,13,3.75,1,0,1011.37
252,1,4296,25,3.89,1,0,2442.85
253,0,3110,89,4.61,1,0,2581.94
254,0,672,92,2.19,0,0,1053.55
255,0,1432,42,1.54,1,0,1265.48
256,0,4853,39,3.23,0,1,2666.24
257,1,4102,30,2.14,0,0,2151.57
258,1,3234,5,3.01,1,1,1730.59
259,0,4186,81,2.16,1,0,3064.52
260,0,325,18,0.85,1,0,400.01
261,1,4300,21,2.4,0,1,2225.44
262,0,2097,86,3.49,0,1,1846.7
263,0,871,50,4.02,1,1,1100.26
264,0,4624,6,2.52,1,1,2494.32
265,1,533,50,0.91,0,0,731.3
266,1,3199,80,2.13,1,0,2471.67
267,1,2829,66,3.95,1,0,2273.65
268,0,3507,1,2.12,0,0,1775.5
269,0,3240,57,3.51,0,0,2052.68
270,1,965,30,2.59,1,1,831.17
271,1,2893,58,1.28,0,0,1990.13
272,1,3011,52,4.0,1,0,2043.0
273,1,2515,37,0.51,0,1,1374.29
274,0,350,48,2.67,0,1,631.17
275,1,3857,87,1.12,0,1,2687.77
276,0,4756,1,0.43,0,0,2447.39
277,1,1018,19,2.56,1,1,801.88
278,0,1273,46,2.55,0,1,1110.09
279,1,3303,67,3.56,1,1,2652.2
280,1,532,2,3.75,0,1,289.21
281,1,935,56,3.67,1,1,1069.03
282,1,2346,17,2.11,0,0,1293.12
283,0,2362,92,3.2,0,0,2048.76
284,1,997,82,2.93,1,1,1436.74
285,0,3732,97,2.17,0,1,2635.84
286,0,4667,79,3.03,1,1,3368.34
287,0,3915,22,4.74,1,1,2052.17
288,0,346,27,1.05,0,1,420.29
289,1,2529,55,4.54,0,1,1498.03
290,0,1090,32,0.36,1,0,987.45
291,0,3410,60,1.61,0,1,2293.76
292,0,1026,83,1.51,0,1,1399.66
293,1,3538,28,3.17,1,1,2237.8
294,1,2707,28,0.74,0,1,1549.4
295,1,1174,74,4.42,0,0,1287.65
296,1,4122,84,4.16,0,1,2761.54
297,0,3899,25,3.3,0,0,2062.28
298,0,4884,85,2.35,0,1,3282.33
299,1,3251,78,4.67,1,1,2370.35
300,0,3538,86,4.17,0,1,2532.28
301,0,4673,26,2.55,0,1,2497.63
302,0,3591,75,3.54,1,0,2519.7
303,1,806,71,2.88,0,1,1038.36
304,1,3164,17,2.98,1,0,1856.8
305,0,853,82,1.72,1,0,1527.15
306,1,687,7,2.36,0,1,129.45
307,1,1434,56,0.48,0,0,1146.07
308,1,1947,64,1.85,1,0,1839.3
309,1,4034,20,3.51,0,1,2149.76
310,1,4026,38,4.77,1,1,2520.04
311,0,3417,75,4.82,0,1,2507.27
312,1,4120,58,2.82,0,1,2457.16
313,0,3255,16,3.07,1,1,1839.68
314,0,4402,51,1.01,1,1,2976.39
315,1,2298,27,3.51,1,0,1562.18
316,0,264,51,0.45,1,1,820.48
317,0,2098,75,1.49,1,0,1953.83
318,0,3157,16,3.37,1,1,1774.0
319,1,2184,87,1.62,1,0,2237.45
320,1,4528,60,0.34,1,0,3209.85
321,0,502,76,4.18,1,0,1239.11
322,1,513,40,1.62,1,1,839.39
323,1,144,67,0.41,0,0,742.79
324,1,4257,2,0.47,0,1,2122.2
325,1,2567,48,1.33,1,0,1710.64
326,0,967,52,0.97,0,1,936.52
327,0,118,24,3.89,1,1,503.18
328,1,464,93,1.68,0,0,993.7
329,1,3932,98,4.04,0,1,2830.74
330,0,679,84,0.95,0,1,1276.2
331,0,645,82,2.52,0,1,1209.4
332,1,4250,78,3.47,0,0,2879.32
333,0,4973,82,3.29,1,1,3469.07
334,1,3139,2,3.05,0,1,1558.28
335,1,4237,65,4.63,0,0,2601.76
336,0,4144,20,1.22,1,0,2617.91
337,0,4426,34,2.52,0,1,2343.52
338,1,552,41,4.43,0,0,554.19
339,1,4061,41,0.48,0,1,2333.78
340,0,1481,75,0.37,0,0,1551.34
341,1,1567,91,1.24,0,0,1584.75
342,0,2838,23,3.2,0,0,1826.81
343,1,1316,38,1.37,0,0,1052.17
344,0,980,44,1.03,1,1,1009.54
345,0,3914,67,2.35,1,0,2513.4
346,0,3249,62,3.11,1,1,2268.51
347,1,184,12,1.32,0,1,191.75
348,1,4244,30,1.57,0,1,2314.27
349,0,1268,95,3.11,1,0,1664.43
350,1,4264,87,4.73,1,0,2985.06
351,0,3229,65,3.41,1,0,2479.28
352,0,3745,41,3.94,0,0,2170.59
353,1,2626,20,1.9,1,1,1581.49
354,1,2967,6,1.43,0,0,1564.35
355,0,3616,75,2.33,1,1,2867.6
356,1,3467,99,4.05,1,0,2681.11
357,1,2294,4,2.34,0,0,1208.01
358,0,3655,93,4.25,0,1,2661.45
359,0,545,10,4.94,0,0,365.52
360,1,3726,51,0.45,0,0,2379.56
361,0,4116,93,0.32,0,1,2983.6
362,0,3975,38,0.83,0,0,2357.14
363,1,3437,1,1.98,1,1,1905.73
364,0,361,8,0.74,0,1,136.05
365,0,1948,81,4.37,0,0,1582.32
366,1,4125,83,0.21,0,1,3046.39
367,1,2366,63,1.65,1,1,2046.77
368,0,191,33,1.01,1,0,704.54
369,0,4322,15,4.66,0,0,2202.18
370,1,4275,31,3.38,0,0,2166.01
371,1,3409,21,4.57,0,1,1720.08
372,1,1082,3,4.86,0,1,464.81
373,1,3543,66,2.54,0,0,2445.78
374,0,2633,35,1.25,0,1,1684.33
375,1,793,41,1.05,1,1,981.13
376,1,4220,59,1.19,0,0,2609.06
377,0,255,16,3.57,0,0,281.07
378,1,3688,56,0.3,0,0,2257.09
379,0,1912,45,0.35,0,1,1411.42
380,1,4214,59,3.08,1,1,2762.46
381,1,1507,50,3.25,0,0,1283.04
382,1,1316,85,3.36,1,1,1305.23
383,0,1510,12,1.92,0,0,821.43
384,0,3597,92,4.05,0,0,2662.42
385,1,4472,12,2.71,0,0,2066.45
386,0,4940,33,0.62,1,1,3061.65
387,0,651,84,4.01,1,1,1272.14
388,0,3494,49,4.77,0,1,2046.2
389,0,1276,21,0.39,0,1,942.05
390,0,4834,60,2.02,0,1,2902.22
391,0,4432,52,2.49,0,1,2767.06
392,1,1097,54,0.82,0,0,1040.76
393,1,4176,39,4.35,0,0,2300.0
394,0,2831,49,1.49,0,0,1774.77
395,1,4037,64,3.94,1,0,2658.35
396,1,4152,86,3.39,1,1,3106.18
397,1,472,26,3.03,0,0,500.7
398,1,2348,71,1.04,0,0,1882.69
399,0,948,7,1.18,0,0,517.48
400,1,2656,72,0.33,0,1,2060.69
401,1,2422,62,1.28,0,0,1787.04
402,0,603,90,1.79,0,0,1105.51
403,0,3289,88,4.18,1,0,2549.3
404,1,802,24,1.9,1,0,721.64
405,1,3725,40,3.8,1,1,2273.04
406,1,414,76,2.25,0,1,884.98
407,1,2476,47,3.95,1,0,1939.62
408,1,1140,8,4.88,0,0,530.39
409,1,4478,54,1.28,1,1,3050.32
410,0,3090,9,4.33,0,1,1548.45
411,1,357,3,3.15,1,1,278.72
412,1,674,54,4.1,0,1,593.5
413,0,4769,21,3.29,1,0,2792.68
414,0,1652,95,2.18,1,1,1866.79
415,0,4618,48,1.22,1,0,2878.54
416,0,857,47,0.44,0,1,788.38
417,1,2910,88,2.72,0,0,2265.99
418,1,1204,68,4.95,0,1,1075.21
419,1,4624,84,3.72,0,0,3192.27
420,1,3559,63,1.7,0,1,2437.4
421,1,4092,16,4.15,1,1,2219.59
422,1,303,74,3.87,0,0,526.69
423,0,2875,90,1.48,0,0,2319.74
424,1,2432,93,0.17,0,1,2061.6
425,0,2092,5,0.68,1,0,1371.39
426,0,2343,11,4.4,1,0,1394.85
427,1,406,29,4.2,1,1,674.09
428,0,1787,79,1.55,0,1,1701.83
429,1,4209,70,1.5,0,1,2596.83
430,0,1960,48,3.99,1,0,1505.51
431,1,2061,15,4.69,0,1,991.25
432,0,822,84,3.92,0,1,1155.75
433,1,879,34,3.07,0,0,641.14
434,1,628,60,1.29,0,0,910.04
435,1,4993,62,2.68,0,1,3063.18
436,1,443,2,1.24,1,0,324.59
437,1,3886,80,4.06,1,0,2878.08
438,0,3782,19,2.0,1,1,2123.89
439,0,308,98,4.19,0,0,1120.11
440,0,4836,49,1.97,1,0,3155.5
441,1,3506,78,4.14,0,0,2427.75
442,0,1411,88,1.73,1,1,1803.47
443,1,2399,28,2.26,0,0,1450.01
444,1,3436,48,3.12,0,1,2190.37
445,0,2047,96,0.44,1,1,2248.88
446,0,1019,37,4.75,1,0,1105.25
447,1,2144,74,2.91,1,1,1746.51
448,0,518,49,2.59,0,1,710.44
449,1,1849,48,4.21,1,1,1465.71
450,1,2942,73,4.34,1,0,2279.43
451,1,1199,88,2.66,1,1,1666.39
452,1,3492,29,4.64,1,1,2106.1
453,1,2872,60,0.42,0,1,1986.46
454,0,2580,29,0.65,0,1,1613.7
455,0,1645,58,3.02,0,1,1191.44
456,1,1170,48,1.83,1,1,1334.0
457,1,1950,23,2.37,1,1,1297.12
458,0,4298,27,1.71,1,0,2732.5
459,0,3039,95,2.08,0,0,2342.44
460,1,2003,7,4.13,1,0,1047.66
461,0,778,49,3.01,0,1,796.04
462,1,1088,54,4.99,1,1,1137.78
463,0,2575,68,3.96,0,0,1837.53
464,1,1707,78,1.44,0,1,1474.25
465,0,2969,42,1.4,1,1,2113.55
466,1,1602,74,1.75,1,0,1800.98
467,0,1889,59,4.23,0,1,1615.82
468,0,1525,44,0.23,0,0,1168.56
469,1,2540,98,1.23,1,0,2267.46
470,0,2142,26,4.53,0,1,1214.11
471,1,1378,23,3.24,1,0,1175.35
472,0,2694,73,1.21,1,1,2355.68
473,1,4789,8,1.17,0,1,2439.67
474,0,2536,53,4.33,0,0,1664.7
475,1,3903,14,4.48,1,1,2243.1
476,0,2305,71,1.36,0,1,2061.56
477,1,1127,7,2.16,0,0,526.03
478,0,3639,9,4.19,1,1,1828.67
479,1,3583,3,3.88,0,1,1591.28
480,1,2341,78,4.09,0,0,1824.95
481,1,2865,17,2.64,0,1,1484.13
482,0,1273,44,4.57,0,1,1121.16
483,1,3330,86,1.7,1,1,2581.84
484,0,3450,46,0.87,0,0,2150.16
485,1,503,90,3.57,0,0,965.35
486,0,2825,58,2.74,0,0,2015.6
487,1,3482,28,4.29,0,1,1799.15
488,0,4263,14,0.5,1,0,2438.02
489,0,187,9,4.23,1,0,146.55
490,1,1258,26,1.54,1,0,955.34
491,0,4373,2,3.31,0,0,2306.58
492,0,2957,75,0.3,1,1,2600.08
493,1,1481,81,3.09,1,0,1706.09
494,0,4781,34,3.61,0,1,2702.42
495,0,2164,19,1.91,0,0,1170.87
496,0,2474,39,1.16,1,1,1823.7
497,1,417,82,2.73,1,0,1140.47
498,0,1602,13,4.18,0,1,849.14
499,1,2142,5,1.69,0,0,1117.86
500,0,4698,50,1.34,0,1,2727.86
501,0,2122,23,1.47,1,0,1717.8
502,0,218,88,4.75,0,1,1056.48
503,1,809,29,1.86,1,0,726.1
504,0,3657,72,0.12,1,1,2756.86
505,0,4240,26,3.93,1,0,2441.52
506,1,4509,79,3.53,0,1,2987.52
507,0,3350,57,0.73,1,0,2421.48
508,1,517,1,4.93,1,0,131.73
509,1,2703,28,3.08,1,0,1627.81
510,0,3954,62,2.55,1,1,2878.65
511,1,1201,47,1.97,0,0,959.21
512,0,4521,78,4.5,1,0,3127.7
513,1,3528,98,1.3,0,0,2734.92
514,1,2361,59,1.5,0,1,1784.5
515,0,4269,31,0.7,1,1,2621.59
516,1,3734,70,3.82,1,0,2424.0
517,1,608,49,3.02,0,0,603.29
518,1,2479,5,3.08,0,1,963.5
519,1,3264,31,1.17,0,1,1728.64
520,1,787,37,3.29,0,1,655.41
521,0,4852,79,3.85,1,0,3343.62
522,1,1392,15,1.85,1,0,1086.54
523,0,4005,52,4.03,1,1,2638.62
524,1,3175,69,1.81,1,0,2303.49
525,0,3309,92,3.81,0,1,2618.59
526,0,424,97,0.27,0,1,1351.71
527,1,2093,11,2.8,1,1,1342.16
528,1,4076,43,4.85,1,1,2514.27
529,1,4912,70,4.91,1,0,3177.0
530,0,2870,23,1.48,0,1,1516.24
531,1,4472,40,2.26,1,0,2661.79
532,0,2683,63,0.41,0,0,1918.46
533,0,3657,2,4.38,0,1,1628.47
534,0,3687,79,2.89,0,0,2542.21
535,1,251,87,1.99,0,0,877.54
536,1,1054,86,0.65,1,0,1651.44
537,0,4454,73,4.74,0,1,2700.3
538,0,2471,47,2.7,0,1,1668.74
539,1,1291,30,1.49,1,1,929.6
540,0,787,16,1.82,1,0,521.5
541,1,409,59,1.43,0,0,666.47
542,0,1602,47,3.05,1,1,1411.89
543,1,3227,30,4.66,1,0,2097.52
544,0,4668,9,4.3,0,1,2311.08
545,1,3467,65,2.36,1,1,2432.45
546,0,3495,59,4.15,0,1,2184.3
547,1,913,64,2.17,0,0,951.35
548,1,945,8,1.34,1,0,323.52
549,0,1264,52,4.92,1,1,1171.67
550,0,4862,18,1.59,1,1,2859.36
551,1,1867,91,1.69,0,1,1514.34
552,0,454,82,4.95,1,0,1106.49
553,1,1972,96,0.76,0,1,1851.93
554,0,2124,58,3.83,1,1,1837.04
555,1,2917,49,4.69,0,0,1816.37
556,1,3932,32,2.61,1,0,2425.98
557,1,4375,48,0.11,0,0,2540.7
558,1,165,45,1.94,1,1,467.87
559,1,4366,54,0.65,1,0,2807.0
560,1,4190,85,2.14,1,1,3037.93
561,0,2621,46,3.97,1,1,2006.89
562,0,2681,96,2.25,1,1,2312.73
563,0,1490,31,2.22,0,0,1219.48
564,1,1230,37,2.83,0,1,895.65
565,1,2586,16,2.95,1,0,1467.88
566,1,934,46,4.3,0,0,709.69
567,1,326,46,1.61,0,0,524.83
568,0,3615,78,4.13,1,1,2698.13
569,0,4637,88,2.87,1,0,3342.42
570,1,2543,89,1.57,0,1,2143.86
571,0,827,61,1.55,0,1,926.38
572,0,3786,46,1.87,1,0,2526.23
573,1,3722,51,3.15,1,1,2424.5
574,0,1136,62,1.23,1,0,1528.07
575,1,1932,35,4.61,0,0,993.01
576,0,2840,81,2.92,1,0,2586.12
577,1,592,42,4.61,0,0,485.44
578,1,1648,45,0.33,1,1,1308.85
579,1,1243,68,1.78,1,0,1386.28
580,1,4057,75,0.21,0,1,2745.91
581,0,3507,47,1.43,1,1,2358.57
582,1,739,79,4.32,0,0,1082.85
583,1,272,30,0.28,0,1,335.45
584,1,4454,24,2.24,0,0,2307.83
585,0,4059,66,0.68,1,0,2783.44
586,1,616,43,2.14,1,0,971.25
587,0,622,34,4.21,1,1,805.24
588,1,2017,23,3.15,0,0,1009.81
589,0,2986,61,3.71,1,1,2183.57
590,0,2264,95,1.81,1,0,2113.42
591,1,2029,37,4.73,1,1,1712.48
592,0,4045,13,3.58,1,0,2299.21
593,1,2309,97,2.17,1,1,2032.13
594,1,3883,71,2.19,0,0,2421.71
595,1,2690,96,4.6,1,1,2237.96
596,0,4176,7,2.92,1,0,2328.86
597,0,1193,42,3.56,1,1,975.52
598,1,3980,38,2.14,0,0,2140.64
599,1,2594,52,1.2,1,1,1917.87
600,0,2679,44,3.65,0,0,1698.21
601,1,2588,64,3.08,0,0,1766.98
602,1,2885,13,2.56,1,0,1629.77
603,1,2858,88,3.16,0,1,2052.29
604,0,1674,28,1.12,0,1,1139.21
605,0,2473,96,3.99,0,0,1916.54
606,0,4090,82,4.75,1,1,2953.55
607,1,4945,98,4.47,0,0,3491.15
608,1,1193,98,1.68,1,0,1656.29
609,1,1289,1,2.09,1,0,622.8
610,0,2789,43,4.06,0,1,1731.63
611,1,4195,42,3.02,0,0,2376.28
612,1,1975,95,2.78,0,1,1850.35
613,1,3506,50,4.64,1,1,2327.03
614,1,1887,60,2.73,1,0,1735.12
615,0,4032,1,2.62,0,1,1923.4
616,0,1707,51,0.31,0,1,1273.72
617,1,3848,16,0.44,1,1,2144.15
618,0,148,39,0.14,1,0,595.53
619,0,3961,15,4.57,1,0,2267.76
620,1,2280,33,2.1,0,1,1239.6
621,1,3146,87,2.4,0,1,2250.47
622,0,2933,53,4.24,1,0,2116.73
623,1,1497,98,3.09,1,0,1937.18
624,0,3926,17,3.09,0,1,1982.75
625,1,4674,89,1.55,1,0,3380.92
626,0,931,6,4.19,0,0,420.85
627,1,2797,31,0.91,1,1,1890.66
628,0,4877,69,0.36,1,0,3327.25
629,0,2835,40,1.04,1,1,1999.4
630,0,181,30,1.41,1,1,817.56
631,1,186,69,1.48,0,1,996.38
632,0,2163,76,3.39,1,1,1947.4
633,0,921,7,1.17,1,0,615.35
634,1,262,13,3.42,0,0,166.8
635,1,3839,4,0.55,0,0,1958.9
636,0,2497,50,0.82,0,0,1864.17
637,0,2032,3,2.59,1,1,969.7
638,1,2828,12,4.62,0,0,1350.54
639,1,3635,65,4.31,1,1,2480.5
640,1,3546,27,4.85,0,1,1815.3
641,1,2890,50,3.29,1,1,1879.51
642,1,2807,77,3.41,0,0,2032.85
643,0,4033,17,3.16,0,1,2193.75
644,1,3485,72,3.15,0,1,2225.04
